FDID,Fire dept name,Mail addr1,Mail addr2,Mail PO box,Mail city,Mail state,Mail zip,HQ phone,HQ fax,County
61014,#9 Area Volunteer Fire Department,FD 115 F Station LN,,,Eufaula,OK,74432-5557,918-452-3763,918-452-3763,PITTSBURG
3010,101 Gamaliel Fire Protection District #5,PO Box 36,,PO Box 36,Gamaliel,AR,72537-0036,870-467-5455,,BAXTER
F3073,104th FW Barnes ANG Fire/Rescue,175 Falcon DR,104th FW Barnes ANGB,,Westfield,MA,1085,413-568-9151,,HAMPDEN
36005,106 Rural Fire District,PO Box 154,,PO Box 154,Newkirk,OK,74647-0154,000-000-0000,,KAY
4602,11 Point Rural Fire Association,908 E Business RT 60-63,,,Willow Springs,MO,65793-3432,417-469-9111,417-469-9111,HOWELL
F3075,111th Fighter Wing Pa ANG,2164 McGuire ST,111th CES/CEF,,Willow Grove,PA,19090-5232,215-443-1496,215-443-1871,MONTGOMERY
F3017,119th CES/CEF,1400 28th AVE,,,Fargo,ND,58102-1052,701-451-2220,701-451-2162,CASS
F3065,131st Fighter Wing Fire Protection,10800 Lambert International BLVD,Stop 28,,Bridgeton,MO,63044-2371,314-263-6315,314-263-6353,SAINT LOUIS
F3029,134th CES/CEF Tennessee Air National Guard,124 Briscoe DR,,,Louisville,TN,37777-6212,865-336-3316,865-985-3381,BLOUNT
F3050,143rd Airlift Wing Fire & Emergency Services,11 Flightline DR,,,North Kingstown,RI,2852,401-267-3300,401-267-3056,WASHINGTON
F3015,148th CES Fire Department,4630 Mustang DR,,,Duluth,MN,55811-6036,218-788-7434,218-788-7468,SAINT LOUIS
35016,151 CES/CEF Utah Air National Guard Fire Department,765 N 2200 W,,,Salt Lake City,UT,84116-2926,801-245-2186,801-245-2185,SALT LAKE
,156th CES/Fire Department,200 AVE Jose A. Santana,,,Carolina,PR,00979-1502,787-253-5222,787-253-7596,CAROLINA
35103,16 Springs Canyon Volunteer Fire Department,764 16 Springs Canyon RD,,,Cloudcroft,NM,88317-9403,575-687-4098,575-687-4098,OTERO
F3048,161st Air National Guard,3200 E Old Tower RD,,,Phoenix,AZ,85034,602-302-9232,,MARICOPA
F3070,162 Wing Fire Emergency Services,1400 E Super Sabre DR,162 CES/CEF,,Tucson,AZ,85706-6052,520-295-6161,520-295-6718,PIMA
3070,165th Airlift Wing Fire Department,1401 Robert B. Miller Jr.  DR,,,Garden City,GA,31408-9001,912-966-8225,912-966-8644,CHATHAM
F3034,167 CES Fire Department,222 Sabre Jet BLVD,,,Martinsburg,WV,25405-7704,000-000-0000,,BERKELEY
34311,174 Fighter Wing Fire Department,6001 E Molloy RD,Bldg. 644,PO Box ,Syracuse,NY,13211-7099,315-454-6660,315-454-6504,ONONDAGA
PA190,"182nd AW Fire Department, Illinois Air National Guard",2401 S Falcon BLVD,,,Peoria,IL,61607-5013,309-633-5130,309-633-5528,PEORIA
SB170,183d Fighter Wing Fire Department,3101 SW J. David Jones PKWY,Capital Airport,,Springfield,IL,62707-5000,217-757-1391,217-757-1393,SANGAMON
F3060,185th Air Refueling Wing Fire Department,2920 Headquarters AVE,,,Sioux City,IA,51111-1300,712-233-0774,712-233-0842,WOODBURY
3037,186 Air Refueling Wing Fire & Emergency Services Flight,6225 M ST,BLDG 155,,Meridian,MS,39307-7222,601-484-9742,601-484-9374,LAUDERDALE
66603,188th Fighter Wing Fire Department,4850 Leigh AVE,BLDG 201,,Fort Smith,AR,72903-6018,479-573-5217,479-573-5141,SEBASTIAN
51201,1st Consolidated Fire District,PO Box 305,,PO Box 305,Caledonia,OH,43314-0305,419-845-3332,419-845-2222,MARION
71004,1st District Volunteer Fire Department/Colman Park Fire Department,38 County Rd 308,,,Iuka,MS,38859,662-423-9767,,PRENTISS
,231st Civil Engineering Flight - MO Air Guard,10800 Lambert International BLVD,,,Bridgeton,MO,63044-2314,314-527-6410,314-527-6412,SAINT LOUIS
31800,"233rd Firefighting Team, CA Army National Guard",850 All America City BLVD,,,Roseville,CA,95678-1564,916-782-8084,916-854-3024,PLACER
64009,250 Volunteer Fire Department,PO Box 1153,,PO Box 1153,Waldron,AR,72958,479-637-3443,,SCOTT
KP414,2604 Volunteer Fire Department,PO Box 1784,,PO Box 1784,Whitney,TX,76692-1784,254-694-4511,,HILL
