NAME,ADDRESS,CITY,STATE,LATITUDE,LONGITUDE
CENTRAL VALLEY GENERAL HOSPITAL,1025 NORTH DOUTY STREET,HANFORD,CA,36.33615885,-119.6456673
LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,150 VIA MERIDA,WESTLAKE VILAGE,CA,34.15493887,-118.8157364
EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,CA,34.0236473,-118.1841648
SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,34.09639136,-118.3252349
KINDRED HOSPITAL BALDWIN PARK,14148 FRANCISQUITO AVENUE,BALDWIN PARK,CA,34.06303893,-117.9674378
LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,CA,33.85970662,-118.148403
MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,MONROVIA,CA,34.14875866,-117.9926677
MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,MONTEREY PARK,CA,34.04946606,-118.1382622
STAR VIEW ADOLESCENT - P H F,4025 WEST 226 STREET,TORRANCE,CA,33.82391446,-118.3560969
CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,730 MAGNOLIA AVENUE,CORONA,CA,33.85808331,-117.553858
MODOC MEDICAL CENTER,228 MC DOWELL STREET,ALTURAS,CA,41.48005626,-120.545744
SALINAS VALLEY MEMORIAL HOSPITAL,450 EAST ROMIE LANE,SALINAS,CA,36.65903046,-121.6459838
CORPUS CHRISTI SPECIALTY HOSPITAL,1310 THIRD STREET,CORPUS CHRISTI,TX,27.77851017,-97.39620831
HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,393 S. TUSTIN STREET,ORANGE,CA,33.78272717,-117.8338919
HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,14851 YORBA STREET,TUSTIN,CA,33.74746074,-117.8310556
KINDRED HOSPITAL BREA,875 NORTH BREA BOULEVARD,BREA,CA,33.93449589,-117.8939488
KINDRED HOSPITAL WESTMINSTER,200 HOSPITAL CIRCLE,WESTMINSTER,CA,33.76353321,-117.995256
KAWEAH DELTA MENTAL HEALTH HOSPITAL D/P APH,1100 SO. AKERS STREET,VISALIA,CA,36.32084395,-119.3482345
CHARLTON MEMORIAL HOSPITAL,2449 THIRD STREET,FOLKSTON,GA,30.84527535,-82.00505739
